30,30,optimistic,16,623093155
30,30,pessimistic,9,60172863459
30,30,optimistic,7,403777768
30,30,pessimistic,14,60248710706
30,30,optimistic,13,404428880
30,30,pessimistic,13,60158392006
30,30,optimistic,9,442078060
30,30,pessimistic,13,60307437711
30,30,optimistic,10,322875980
30,30,pessimistic,15,60275045467
30,30,optimistic,14,491609431
30,30,pessimistic,2,60246147309
30,30,optimistic,5,336123621
30,30,pessimistic,13,60269979432
30,30,optimistic,8,372086312
30,30,pessimistic,11,60257302849
30,30,optimistic,9,429713896
30,30,pessimistic,13,60191782267
30,30,optimistic,10,446404306
30,30,pessimistic,19,90311521330
30,30,optimistic,10,377226653
30,30,pessimistic,11,60357178867
30,30,optimistic,10,460271448
30,30,pessimistic,15,60251498257
30,30,optimistic,8,306449958
30,30,pessimistic,15,60341136697
30,30,optimistic,14,479462853
30,30,pessimistic,5,60144072862
30,30,optimistic,14,542140461
30,30,pessimistic,8,30386049109
40,40,optimistic,11,1003382420
40,40,pessimistic,36,120373375400
40,40,optimistic,7,888370699
40,40,pessimistic,46,120898177213
40,40,optimistic,13,1039593075
40,40,pessimistic,40,91066569917
40,40,optimistic,13,1038138541
40,40,pessimistic,36,90699639959
40,40,optimistic,14,1107542808
40,40,pessimistic,30,90551956417
40,40,optimistic,13,537788762
40,40,pessimistic,49,121124699178
40,40,optimistic,13,1088341140
40,40,pessimistic,38,120598637836
40,40,optimistic,9,984811748
40,40,pessimistic,37,90803448106
40,40,optimistic,12,1018872417
40,40,pessimistic,43,121076456485
40,40,optimistic,11,1013055919
40,40,pessimistic,31,120523658466
40,40,optimistic,14,639572958
40,40,pessimistic,37,120688695845
40,40,optimistic,11,977472976
40,40,pessimistic,37,120383280031
40,40,optimistic,9,975013445
40,40,pessimistic,46,120619748094
